"word","degree","closeness","betweenness"
"世界",0.5775,0.056785917092561033,0
"中国",1.198,0.06451612903225808,170
"命运",0.35950000000000004,2.7816411682892896,1
"持续",0.2595,0.045347360783602395,0
"和平",0.5345,0.06085501293169026,72
"领域",0.2445,0.048081546302529116,0
"经济",2.073,0.07551444213705874,287
"务实",0.233,0.049280504632367425,0
"习近平",0.331,9.389671361502344,0
"人文",0.1805,0.04235493434985178,0
"共建",0.246,0.82135523613963,4
"地区",0.4580000000000001,0.057725055560366,129
"区域",0.1635,0.04893205783769238,0
"中非",0.162,0.058247903075489306,0
"贸易",0.155,6.451612903225805,0
"发展",1.8914999999999997,0.09403799134850484,577
"女士们",0.1455,6.872852233676977,0
"开放",0.1385,7.220216606498192,0
"全球",0.1355,0.05207112916243589,0
"交流",0.3145,0.06382435537401075,44
"一带一路",0.40549999999999997,1.1357183418512204,8
"产能",0.124,0.06453278265358801,0
"金砖",0.122,0.03361627027481302,0
"国际",0.21,0.07049451905114382,88
"互利",0.1955,0.06697923643670463,0
"合作",2.001,0.09960159362549802,662
"主席",0.331,9.389671361502344,0
"战略",0.2545,0.0586166471277843,44
"中方",0.1005,9.950248756218903,0
"安全",0.096,0.07010656197420076,0
"基础设施",0.096,0.6533812479581833,0
"总理",0.0955,10.471204188481684,0
"澜湄",0.0935,0.070651405962978725,0
"关系",0.0925,0.06800870511425462,0
"领导人",0.0925,10.810810810810807,0
"稳定",0.34450000000000003,0.06838542022840731,0
"作出",0.0895,11.17318435754191,0
"维护",0.084,0.04757487095316254,0
"政治",0.084,11.904761904761894,0
"人类",0.0825,2.262443438914026,0
"坚定",0.082,12.195121951219502,0
"经济社会",0.0795,0.07076139258420608,0
"各国",0.16199999999999998,0.07232749891508752,44
"数字",0.0755,0.0603700685200278,0
"东盟",0.49,0.02698327037236913,0
"共同体",0.277,1.5710919088766686,0
"增长",0.233,0.04256315307838005,0
"国家",0.29000000000000004,0.04101806845915627,44
"投资",0.155,6.451612903225805,0
"全球化",0.149,0.05050887693512134,0
"朋友",0.1455,6.872852233676977,0
"包容",0.1385,7.220216606498192,0
"建设",0.229,0.8722197993894459,4
"道路",0.1295,0.06122948812147934,0
"复苏",0.118,0.05424611462204024,0
"机制",0.1135,0.06651589729945458,0
"议程",0.109,0.06480881399870385,0
"繁荣",0.1055,0.06546216286986124,0
"倡议",0.104,0.7713073659853448,0
"伙伴关系",0.1015,0.04645544922419402,0
"愿同",0.1005,9.950248756218903,0
"东欧国家",0.099,0.05036261079774379,0
"东盟国家",0.0965,0.05064316823660488,0
"论坛",0.096,0.07010656197420076,0
"李克强",0.0955,10.471204188481684,0
"共赢",0.175,0.07128599942971206,0
"会议",0.0925,10.810810810810807,0
"贡献",0.0895,11.17318435754191,0
"一体化",0.0855,0.058807962598135824,0
"互信",0.084,11.904761904761894,0
"企业",0.083,0.052213868003341705,0
"支持",0.082,12.195121951219502,0
"平台",0.0785,0.0741070105231955,0
"共享",0.0775,0.6546644844517184,0
"机遇",0.0755,0.07165376898824884,0
