"word","degree","closeness","betweenness"
"和平",0.97,0.1929198418057297,48
"中方",1.0375,1.8796992481203008,9
"习近平",0.2665,3.7523452157598505,0
"地区",0.624,0.1507159005275056,35
"务实",0.1935,2.006018054162488,0
"中国",0.6775,0.1984126984126984,80
"稳定",0.7619999999999999,0.11620475277438848,18
"达成",0.1385,7.220216606498192,0
"评论",0.629,0.9746588693957117,0
"政治",0.1195,1.0416666666666665,0
"各方",0.3125,0.17497812773403326,35
"南海",0.6485,0.24485798237022524,129
"维护",0.21700000000000003,0.18241517694272164,36
"领域",0.1115,2.400960384153662,0
"对话",0.108,1.202645820805772,0
"世界",0.1055,9.478672985781998,0
"领土",0.101,9.900990099009903,0
"王毅",0.095,10.526315789473687,0
"协商",0.29400000000000004,1.9704433497536935,5
"半岛",0.0935,10.69518716577541,0
"两国",0.1765,5.6657223796034035,1
"建设性",0.184,5.434782608695654,0
"国际",0.092,0.12061271257990587,0
"谈判",0.092,1.2763241863433303,0
"发挥",0.1785,5.6022408963585475,0
"健康",0.091,0.0976228828037292,0
"介绍",0.091,10.989010989010993,0
"李克强",0.0895,11.17318435754191,0
"海洋法",0.177,5.649717514124292,1
"联合国",0.0885,3.766478342749528,0
"立场",0.20650000000000002,1.0958904109589043,0
"希望",0.0795,0.13993842709207951,0
"中美",0.0775,12.90322580645163,0
"相向",0.075,13.333333333333341,0
"主席",0.2665,3.7523452157598505,0
"合作",0.305,3.2786885245901645,1
"国家",0.1705,0.10305028854080789,0
"东盟",0.148,0.12980269989615786,0
"发展",0.22349999999999998,0.15970614070111,34
"共识",0.1385,7.220216606498192,0
"东盟国家",0.1285,0.13599891200870393,0
"解决",0.2135,1.6625103906899408,3
"宣言",0.1165,0.12800819252432155,0
"公民",0.111,0.14208581983518045,0
"回应",0.106,1.04602510460251,0
"仲裁",0.1055,0.16714023065351832,0
"经济",0.1055,9.478672985781998,0
"主权",0.101,9.900990099009903,0
"反对",0.0955,1.0940919037199128,0
"外长",0.095,10.526315789473687,0
"无核化",0.0935,10.69518716577541,0
"领导人",0.0935,3.7037037037037064,0
"作用",0.1805,5.5401662049861535,0
"原则",0.092,0.1493428912783751,0
"情况",0.091,10.989010989010993,0
"总理",0.0895,11.17318435754191,0
"公约",0.0885,3.766478342749528,0
"元首",0.083,3.853564547206168,0
"争议",0.083,0.1792757260666906,0
"一贯",0.1595,1.380262249827467,0
"企业",0.0785,0.15496668216333492,0
"经贸",0.0775,12.90322580645163,0
"而行",0.075,13.333333333333341,0
