"word","degree","closeness","betweenness"
"命运",0.5085,0.7501875468867217,3
"习近平",0.389,2.570694087403599,1
"和平",0.3585,0.13723068478111705,16
"中国",0.6205,0.2210433244916003,67
"人类",0.365,0.8952551477170994,4
"发展",0.9414999999999999,0.25879917184265,110
"世界",0.39549999999999996,0.18214936247723126,31
"构建",0.2435,0.7898894154818326,3
"国际",0.35750000000000004,0.16600265604249662,31
"持续",0.1325,0.1671122994652406,0
"全球",0.1225,0.17170329670329665,0
"共建",0.0945,10.582010582010579,0
"推动",0.0945,0.6453694740238787,0
"新型",0.0935,10.69518716577541,0
"坚定",0.0865,11.560693641618494,0
"合作",0.29400000000000004,0.220458553791887,55
"开放",0.0765,13.0718954248366,0
"世界和平",0.0765,0.1965408805031446,0
"宗旨",0.0765,13.0718954248366,0
"大国",0.0755,13.2450331125828,0
"共同体",0.2925,0.4523863379325945,0
"主席",0.262,1.5360983102918586,0
"外交",0.2275,0.12248897599216069,0
"特色",0.2025,0.12879958784131884,0
"道路",0.1715,0.15133171912832924,0
"经济",0.1635,0.12336540833950158,0
"各国",0.1515,0.12635835228708614,0
"秩序",0.144,0.12007684918347745,0
"总书记",0.127,1.937984496124031,0
"稳定",0.114,0.10975743606629348,0
"一带一路",0.0945,10.582010582010579,0
"国际关系",0.0935,10.69518716577541,0
"体系",0.0895,0.13412017167381976,0
"维护",0.0865,11.560693641618494,0
"共赢",0.086,0.16914749661705,0
"包容",0.0765,13.0718954248366,0
"原则",0.0765,13.0718954248366,0
"关系",0.0755,13.2450331125828,0
